newdist,category,horse_name,wrace,life_win,horse_weight,lspedrat,aversprat,jock_per_win,jock_num_win,jockey_weight,postpos,result,winner
True,Yeg 3a perd,Miss Guapa,22418.59,0.0,440.0,55.096,57.01,4.082,2,56.0,6,4,False
False,Yeg 3a perd,Cafedevolvelaguita,0.0,0.0,386.0,57.695,57.707,9.611,47,56.0,10,5,False
False,Yeg 3a perd,Konanny Queen,10216.1,0.0,386.0,56.007,56.007,10.288,107,56.0,9,6,False
False,Yeg 3a perd,Lunita Mia,117266.4,33.333,440.0,55.22,57.66,9.375,48,56.0,8,7,False
False,Yeg 3a perd,Hanadi,0.0,0.0,416.0,56.496,56.761,13.109,191,56.0,5,8,False
True,Yeg 3a perd,Krama,0.0,0.0,394.0,,,16.424,113,56.0,3,9,False
True,Yeg 3a perd,Pitucona,14075.35,0.0,466.0,,,10.703,35,56.0,4,10,False
False,Yeg 3a perd,Maxim Alley,0.0,0.0,,55.601,56.657,2.857,2,56.0,1,0,False
True,Cab 3a perd,Help Nisca,324912.32,22.222,518.0,,,10.288,107,56.0,11,1,True
False,Cab 3a perd,Hit Messenger,770256.2,25.0,486.0,59.827,59.304,13.855,46,57.0,5,2,False
False,Cab 3a perd,Neptuno,998030.09,42.105,458.0,53.517,55.7,16.696,187,56.0,8,3,False
True,Cab 3a perd,Lanfranco,305167.78,3.125,424.0,57.29,57.433,10.907,83,56.0,3,4,False
True,Cab 3a perd,Regal Chiron,118183.2,50.0,504.0,,,12.741,99,56.0,1,5,False
True,Cab 3a perd,Sputnk Storm,154395.0,66.667,500.0,58.227,58.227,15.033,115,57.0,4,6,False
False,Cab 3a perd,Juez y Parte,624489.79,9.375,482.0,59.547,58.316,11.478,80,57.0,9,7,False
False,Cab 3a perd,Clarin,166779.39,2.174,414.0,58.93,57.311,6.786,68,56.0,10,8,False
False,Cab 3a perd,Regal Hyperion,222420.36,0.0,448.0,53.922,57.512,10.7,107,56.0,6,9,False
True,Cab 3a perd,Maremoto H,144339.66,16.667,440.0,55.646,54.528,8.763,34,56.0,7,10,False
True,Cab 3a perd,Vision Of Dancer,0.0,0.0,446.0,55.414,57.532,9.611,47,56.0,2,11,False
False,Yeg 3a y+ G 1,Brillante Ok,2323857.02,33.333,452.0,57.153,59.07,8.938,53,55.0,7,1,True
True,Yeg 3a y+ G 1,Financial Aid,1200556.94,28.571,452.0,57.334,57.793,10.288,107,61.0,8,2,False
False,Yeg 3a y+ G 1,Histerica,1074126.16,19.048,484.0,57.527,57.104,13.939,161,60.0,1,3,False
False,Yeg 3a y+ G 1,Hija Atrevida,1696320.56,26.923,456.0,57.852,59.14,11.458,22,60.0,12,4,False
False,Yeg 3a y+ G 1,Jazz Band,451898.13,12.5,424.0,58.102,58.184,15.033,115,61.0,3,5,False
False,Yeg 3a y+ G 1,Jogo Da Arte,285229.65,10.0,448.0,59.021,58.686,13.109,191,61.0,14,6,False
True,Yeg 3a y+ G 1,Loca Mania,2072801.98,17.391,460.0,57.485,58.244,12.069,35,60.0,9,7,False
False,Yeg 3a y+ G 1,Homily,2773434.63,38.462,474.0,58.595,58.123,15.488,127,61.0,11,8,False
True,Yeg 3a y+ G 1,Victory Danger,1888202.72,12.903,424.0,57.896,57.82,14.038,81,60.0,4,9,False
False,Yeg 3a y+ G 1,Desembestada,671500.69,12.0,448.0,56.934,58.062,9.596,38,60.0,6,10,False
True,Yeg 3a y+ G 1,Missing Dubai,2933179.37,50.0,480.0,57.189,58.908,10.841,147,55.0,2,13,False
False,Cab 3a g de 1,Atrida,849051.86,21.429,490.0,59.88,59.844,6.711,30,57.0,10,1,True
False,Cab 3a g de 1,Royal Top,1024211.0,15.0,442.0,60.32,59.708,10.288,107,56.0,1,2,False
True,Cab 3a g de 1,Franken,564519.02,42.857,452.0,60.316,60.316,16.696,187,56.0,9,3,False
False,Cab 3a g de 1,Mileto,1111489.45,16.667,494.0,58.517,58.227,13.939,161,56.0,8,4,False
False,Cab 3a g de 1,Suzuki,436037.35,4.762,420.0,59.706,59.768,12.069,35,56.0,2,5,False
False,Cab 3a g de 1,Intransigente,274290.62,4.348,454.0,60.239,59.318,15.488,127,56.0,7,6,False
False,Cab 3a g de 1,Storm Gladiador,463006.53,20.0,470.0,58.014,59.623,11.478,80,57.0,6,7,False
False,Cab 3a g de 1,Decidido Fund,584221.54,7.143,460.0,60.053,59.631,9.596,38,57.0,11,8,False
True,Cab 3a g de 1,Sutil,665337.71,12.5,448.0,58.828,60.286,9.099,107,57.0,4,9,False
False,Cab 3a g de 1,Halo Hunter,979822.78,10.714,500.0,59.86,60.074,13.109,191,57.0,3,10,False
False,Cab 3a g de 1,Escorpion Ft,679835.47,5.0,,59.24,58.177,10.703,35,56.0,5,0,False
False,Yeg 3a perd,La Margot,428615.64,42.857,470.0,57.903,57.742,15.397,97,57.0,8,1,True
False,Yeg 3a perd,Hindu Tiger,742336.28,26.667,460.0,59.641,59.912,10.7,107,57.0,7,2,False
True,Yeg 3a perd,Vai Que Da,834387.89,33.333,484.0,,,16.424,113,56.0,4,3,False
False,Yeg 3a perd,Into The Woods,394519.12,16.667,424.0,58.638,59.105,6.711,30,57.0,3,4,False
False,Yeg 3a perd,Magic Shadow,449495.27,22.222,506.0,58.881,58.881,10.288,107,56.0,1,5,False
True,Yeg 3a perd,Kade Eliane,22655.11,0.0,426.0,,,13.109,191,56.0,9,6,False
False,Yeg 3a perd,China Maria,546180.52,15.0,456.0,57.385,57.582,13.855,46,57.0,5,7,False
False,Yeg 3a perd,Morenita,0.0,0.0,430.0,55.229,55.229,19.178,70,56.0,6,8,False
True,Yeg 3a perd,Yinyer Loc,359750.12,30.769,470.0,59.642,60.43,8.852,37,56.0,2,9,False
False,Yeg 3a perd,Chica Vip,489266.34,17.647,442.0,59.543,58.468,7.514,26,57.0,11,10,False
False,Yeg 3a perd,Cafe Monkey,264813.35,3.704,444.0,56.928,56.495,9.099,107,56.0,10,11,False
True,Yeg 3a perd,Celebrity Giant,0.0,0.0,,,,4.082,2,56.0,12,0,False
False,Cab 3a perd,Sugerido,560639.51,11.429,426.0,58.93,58.795,9.672,53,57.0,4,1,True
